id,base,base_nm,model,status
0,0,본부,0,1
1,0,본부,0,1
2,0,본부,1,1
3,0,본부,1,1
4,0,본부,1,1
5,1,익산,0,1
6,1,익산,1,1
7,1,익산,1,1
8,2,양산,1,1
9,2,양산,1,1
10,2,양산,3,1
11,2,양산,3,1
12,2,양산,3,1
13,3,영암,1,1
14,3,영암,1,1
15,3,영암,4,1
16,3,영암,4,1
17,4,안동,0,1
18,4,안동,1,1
19,4,안동,1,1
20,4,안동,1,1
21,5,강릉,0,1
22,5,강릉,1,1
23,5,강릉,1,1
24,5,강릉,1,1
25,6,진천,0,1
26,6,진천,1,1
27,6,진천,1,1
28,6,진천,1,1
29,7,함양,1,1
30,7,함양,1,1
31,7,함양,1,1
32,7,함양,4,1
33,7,함양,4,1
34,8,청양,1,1
35,8,청양,1,1
36,8,청양,3,1
37,8,청양,3,1
38,8,청양,3,1
39,8,청양,3,1
40,9,서울,1,1
41,9,서울,1,1
42,9,서울,2,1
43,10,울진,0,1
44,10,울진,1,1
45,10,울진,1,1
46,11,제주,1,1
47,12,비무장,1,1
